D_1,D_2,T_1,T_2,Value
D1180,D919,P434,P442,0.851843458554868
D1180,D919,P434,P829,0.8675034138121386
D1180,D919,P442,P264,0.8665842094413523
D1180,D919,P442,P434,0.851843458554868
D1180,D919,P442,P829,0.8756054756054756
D1180,D919,P52,P176,0.8276034589903203
D1180,D919,P52,P499,0.8258837936257292
D1180,D919,P52,P51,0.8372167824055766
D1180,D919,P648,P485,0.8197152529577597
D1180,D919,P648,P660,0.8251648442384137
D1180,D919,P648,P79,0.8142656616771058
D1180,D919,P648,P997,0.8142656616771058
D1181,D1184,P534,P536,0.7831800945405433
D1181,D1186,P534,P536,0.7805872477472847
D1181,D1793,P534,P536,0.8061191626409018
D1182,D1181,P534,P536,0.7884946415681048
D1182,D1184,P534,P536,0.7731294719192522
D1182,D1186,P534,P536,0.7707450129810378
D1182,D1793,P534,P536,0.8218054371507056
D1183,D1181,P534,P536,0.772091384863124
D1183,D1184,P534,P536,0.739452495974235
D1183,D1793,P534,P536,0.7445807011024402
D1184,D1181,P534,P536,0.7831800945405433
D1184,D1186,P534,P536,0.8074937330876372
D1184,D1793,P534,P536,0.7594524959742351
D1185,D1181,P534,P536,0.7885367450584843
D1185,D1184,P534,P536,0.803341384863124
D1185,D1186,P534,P536,0.7714786397650847
D1185,D1793,P534,P536,0.758307714829454
D1186,D1181,P534,P536,0.7805872477472847
D1186,D1184,P534,P536,0.8074937330876372
D1186,D1793,P534,P536,0.7572742781524529
D1187,D1181,P534,P536,0.7885367450584843
D1187,D1184,P534,P536,0.803341384863124
D1187,D1186,P534,P536,0.8068136070853461
D1187,D1793,P534,P536,0.7639422918926023
D1188,D1181,P534,P536,0.7858293075684379
D1188,D1184,P534,P536,0.8131367065005509
D1188,D1186,P534,P536,0.8102858293075684
D1188,D1793,P534,P536,0.7616747181964573
D119,D120,P81,P78,0.9031210117182967
D1190,D1192,P538,P1,0.7473791348600508
D1190,D1192,P538,P2,0.7461068702290077
D1190,D1192,P538,P541,0.7486513994910942
D1190,D1192,P538,P574,0.7486513994910942
D1190,D1192,P538,P684,0.752468193384224
D1190,D1192,P538,P685,0.7435623409669212
D1191,D1192,P538,P1,0.7422628557902834
D1191,D1192,P538,P2,0.7409905911592402
D1191,D1192,P538,P541,0.7435351204213267
D1191,D1192,P538,P574,0.7435351204213267
D1191,D1192,P538,P684,0.7473519143144566
D1191,D1192,P538,P685,0.7384460618971537
D1192,D1190,P542,P704,0.7482018927444795
D12,D4848,P2,P1,0.8814938684503901
D12,D4848,P2,P1041,0.7532887402452619
D12,D4848,P2,P538,0.756831507910167
D12,D4848,P2,P541,0.7627297462379922
